id,titulo,genero,actor1,actor2,actor3,director,anio,calidad,formato,sinopsis
2899,SU EXCELENCIA,Comedia,Mario Moreno(Cantinflas),Sonia Infante,Tito Junco,Miguel M. Delgado,1967,Color,DVD,"3-07-1967 Plaza
  Cantinflas es el embajador de la república de Los Cocos. En la asamblea de naciones la partes están empatadas y el voto de esta pequeña nación decidirá el rumbo del mundo."
2902,EL MONSTRUO INVISIBLE (Serial),Aventuras,Richard Webb,Aline Towne,Lane Bradford,Fred C. Brannon,1950,B&N,DVD,"No estrenada en salas en Uruguay.
 Un delincuente quiere hacerse de poder pues cuenta con una formula para obtener la invisibilidad."
2903,EL SILENCIO DE LOS INOCENTES,Drama,Anthony Hopkins,Jodie Foster,Scott Glenn,Jonathan Demme,1990,Color,DVD,"02-10-1991 Plaza
  Un asesino psicópata está matando a jóvenes mujeres. El FBI destina a Jodie Foster para entrevistar a un prisionero que tal vez pueda proporcionar una visión psicológica del asesino buscado."
3096,EL LEON EN INVIERNO,Histórica,Katharine Hepburn,Peter O'Toole,Anthony Hopkins,Anthony Harvey,1968,Color,DVD,"3-09-1970 Metro
 En las navidades del año 1183 el rey de Inglaterra convoca a su distanciada esposa Leonor de Aquitania y a sus tres hijos para decidir el tema de la sucesión de la corona."
2905,ESCRITO SOBRE EL VIENTO,Drama,Rock Hudson,Lauren Bacall,Robert Stack,Douglas Sirk,1956,Color,DVD,"14-10-1957 Ariel, Trocadero
 Robert Stack es Kyle Hadley, el hijo de un magnate texano cuya dinastía es amenazada con derrumbarse por los manejos de su prole.
   En un reparto lleno de estrellas encontramos a Lauren Bacall como la mujer de Stack, Rock Hudson como su mejor amigo y Dorothy Malone, que se llevó un Oscar por su rol como la ninfómana herman de Kyle."
2906,APUESTA POR UN JINETE (Desafío a la muerte),Cine Negro,Robert Taylor,Dorothy Malone,Marcel Dalio,Richard Thorpe,1957,B&N,DVD,"19-06-1958 Metro
 Lloyd Tredman (Robert Taylor) un piloto condecorado en la Guerra de Corea, sorprende a su esposa Phyllis (Dorothy Malone) con una nota en la que le anuncia que ha pedido la baja en la fuerza aérea solicitándole, además, el divorcio. Extrañada Phyllis sigue la pista de su marido y lo localiza en Madrid."
2907,CYRANO DE BERGERAC,Drama,José Ferrer,Mala Powers,William Prince,Michael Gordon,1950,B&N,DVD,"26-05-1952 Trocadero, Eliseo
 Cyrano  es un caballero, poeta, romántico, amargado por su antiestética nariz. Está secretamente enamorado de su prima y esta está enamorada de Prince. Cyrano ayuda a Prince a escribir sus cartas amorosas para conquistar a su prima. A través de un trágico desenlace esta comprenderá que las palabras de amor pertenecían al corazón de Cyrano. José Ferrer obtuvo el Oscar a mejor actor."
2908,LA DUDA,Drama,Fernando Rey,Analía Gadé,Angel del Pozo,Rafael Gil,1972,Color,DVD,"No estrenada en salas en Uruguay.
 El regreso de Don Rodrigo a la que un día fuera su casa, propiedad ahora de su nuera con la que nuna mantuvo una buena relación, viene motivado por el deseo de conocer la verdad sobre quién es su verdadera nieta. Ambas niñas pondrán en su soledad el cariño que buscaba."
640,DIOS SE LO PAGUE,Drama,Arturo de Córdova,Zully Moreno,Florindo Ferrario,Luis Cesar Amadori,1948,ByN,DVD,"11-03-1948 Grand Palace
Un hombre que acrecienta su fortuna haciéndose pasar por mendigo
entabla una relación con una joven jugadora y poco afortunada.
  El clásico de los melodramas.
  Primer film rioplatense en competir por el Oscar."
1750,EL CANILLITA Y LA DAMA,Comedia,Luis Sandrini,Rosita Moreno,Miguel Gomez Bao,Luis CesarAmadori,1938,B&N,DVD,"Fecha de estreno en Montevideo:18-06-1938. Ambassador
  Fingiendo ser hijo de un poderoso industrial, un canillita se enamora de su supuesta hermana."
1793,CLARO DE LUNA,Drama,Mirtha Legrand,Silvia Legrand,Roberto Airaldi,Luis Cesar Amadori,1942,B&N,DVD,"Fecha de estreno en Montevideo: 6-05-1943. Radio City
   Dos mellizas se enamoran del mismo hombre, quien cree amar solamente a una mujer."
1927,UNA NOCHE EN EL TABARIN,Comedia,Pepe Iglesias,Elena Lucena,Blanquita Amaro,Luis Cesar Amadori,1950,B&N,DVD,"Fecha de estreno en Montevideo: 17-06-1949. Grand Palace
Salvando las distancias, conceptual y formalmente lo más parecido a una comedia musical hollywoodense que se ha hecho en el país. Y con Pepe Iglesias. (Manrupe y Portela en ""Diccionario de films argentinos""."
2909,WHISKY,Comedia,Andrés Pazos,Mirella Pascual,Jorge Bolani,J.P.Rebella y Pablo Stoll,2004,Color,DVD,"6-08-2004
 Al cumplirse el aniversario de la muerte de su madre, el dueño de una fábrica de medias recibe la visita de su hermano y hace pasar por su esposa a una de las empleadas."
2910,TESIS SOBRE UN HOMICIDIO,Policial,Ricardo Darín,Alberto Amman,Arturo Puig,Hernan Goldfrid,2012,Color,DVD,"18-01-2013 Movie Center Montevideo, Portones, Life Alfabeta y Punta Carretas. Grupocine Ejido.
 La vida de Roberto Bermúdez, un especialista en Derecho Penal, cambia súbitamente cuando se convence que uno de sus mejores alumnos es el autor de un brutal asesinato cometido frente a la Universidad de Derecho."
2911,REGRESO DEL INFIERNO,Bélica,Audie Murphy,Marshall Thompson,Charles Drake,Jesse Hibbs,1955,Color,DVD,"16-04-1956 Trocadero
  La historia real de Audie Murphy, el soldado mas condecorado del ejército norteamericano en la Segunda Guerra Mundial."
2914,TEMPESTAD EN ASIA,Aventuras,Richard Widmark,Don Taylot,Murvyn Vye Darryl,Robert Wise,1953,Color,DVD,"31-08-1953 Ambassador
 Título local. Jinetes de la Mongolia.
  En noviembre de 1944 un oficial de la marina debe conducir un grupo de meteorólogos a través del desierto de Gobi."
2913,ALMAS INOCENTES,Western,Audie Murphy,Sandra Dee,Gilbert Roland,Kack Sher,1959,Color,DVD,"No estrenada en salas en Uruguay.
 Yanci Hawks vive con sut ío en las montañas cazando animales para luego vender sus pieles. Debido al ataque de un oso a su tío tiene que arreglarselas solo para culminar el negocio. Por el camino se encontrará con una chica que huye de su familia y la lleva al pueblo donde se meterán en varios enredos."
3058,FASCINACION,Drama,Arturo de Córdova,Elisa Galvé,Alicia Barrié,Carlos Schlieper,1949,B&N,DVD,"19-10-1949 Grand Palace
 Un hipnotizador vive en la duda de no saber su su mujer-partenaire está con él por su amor o bajo su influjo."
2915,MR HORN,Western,Richard Widmark,David Caradine,Karen Black,Jack Starrett,1979,Color,DVD,"Serie TV
 Vida de Tom Horn que trabajó para el ejército al ser contratado por un rastreador con el objetivo de capturar al jefe apache Gerónimo."
2916,CUENTOS ASOMBROSOS (Temp 2),Ciencia Ficción,Danny Devito,Patrick Swayze,Christopher Lloyd,Varios,1985,Color,DVD,21 episodios filmados por los direcores mas talentosos. Transporta a los espectadores donde lo imposible se hace posible. Auténticas obras de culto.
2917,EL MOROCHO DEL ABASTO,Musical,Rolando Chaves,Tito Lusiardo,Laura Hidalgo,Julio Rossi,1949,B&N,DVD,"11-04-1950 Coventry
  La vida del cantor uruguayo Carlos Gardel en el momento de su surgimiento, sus amores,su madre, sus amigos"
2918,PERSONA HONRADA SE NECESITA,Comedia,Francisco Petrone,Alicia Vignoli,Marcelo Ruggero,Francisco Mugica,1941,B&N,DVD,"02-09-1941 Ambassador
 Un estafador está imposibilitado de cobrar un billete de lotería premiado ya que la policía está detrá de sus pasos. Busca una persona honrada para que lo haga. Encuentra una muchacha que terminará enamorándolo."
2919,DOÑA FRANSCISQUITA,Musical,Mirtha Legrand,Armando Calvo,Antonio Casal,Ladislao Vajda,1952,B&N,DVD,"30-06-1953 Coventry
 Ambientada en el Madrid romántico del siglo XIX narra los amores y malentendidos etre varias personas. Francisquita ama en secreto a Fernando, pero este se ha enamorado de Aurora, una madrileña acostumbrada a coqueterar con varios hombres."
2920,LA INTRUSA,Drama,José de Abreu,Arlindo Barreto,Maria Bethlem,Carlos H.Christensen,1979,Color,DVD,"12-05-1989 Estudio 3
 En 1897 en Uruguaiana viven los hermanos Nilsen, gauchos de escendencia danesa. Un día,el hermano mayor trae a una mujer a vivir con ellos. El hermano menor se enamora de ella. Las relaciones se vuelven insostenibles entre los hermanos."
2922,EL DIA QUE ME AMEN,Drama,Adrian Suar,Leticia Bredice,Alfredo Casero,Daniel Barone,2003,Color,DVD,"3-10-2003 Movie Center Montevideo, Portones, P Carretas. Grupo Cine Ejido, Plaza, Libertad.
  El encuentro entre un hombre con depresión y una actriz de comedia musical que cambiará sus vidas."
2923,UN NOVIO PARA MI MUJER,Comedia,Adrian Suar,Valeria Bertuccelli,Gabriel Goity,Juan Taratuto,2008,Color,DVD,"31-10-2008. Movie Center Montevideo, Portones, P Carretas, Grupo Cine Arocena, Ejido, P. Carretas, Alfabeta
 Para deshacerse de su esposa un hombre contrata a un experto en seducir mujeres casadas."
2924,UNA MUJER SIN CABEZA,Comedia,Nini Marshall,Angelina Pagano,Francisco Charmiello,Luis Cesar Amadori,1947,B&N,DVD,"9-07-1947 Grand Palace
 Una gitana de circo y una amiga huyen de la tribu refugiándose en una casa dónde suceden raras apariciones."
2925,SETENTA VECES SIETE,Drama,Isabel Sarli,Francisco Rabal,Jardiel Filho,Leopoldo Torre Nilson,1962,B&N,DVD,"21-09-1962 Radio City
  Una prostituta del sur argentino recuerda cómo dejó a dos hombres que la codiciaban abandonados en un pozo."
2005,JUAN GLOBO,Comedia,Luis Sandrini,Elina Colomer,Eduardo Sandrini,Luis Cesar Amadori,1948,B&N,DVD,"29-03-1949 Grand Palace
   Un joven humilde que quiere ser marinero pero al no tener documentos debe trabajar como chofer en el hogar de una anciana."
2119,LA PASION DESNUDA,Drama,María Félix,Carlos Thompson,Eduardo Cuitiño,Luis Cesar Amadori,1953,B&N,DVD,"1-07-1953 Censa
Una mujer arrepentida se emplea de sirvienta en un convento. Allí vive su hija paralítica, que ella cree muerta.
 Buena actuación de Carlos Thompson en su última película en Argentina antes de irse a Hollywood."
2124,DON JUAN TENORIO,Drama,Luis Sandrini,Tita Merello,Virginia Luque,Luis Cesar Amadori,1949,B&N,DVD,"19-01-1949 Grand Palace
Un actor retirado cuenta la historia de Don Juan Tenorio para lograr que un Profesor consienta el casamiento de su hija con el sobrino de aquel."
2926,BREVE CIELO,Drama,Ana Maria Picchio,Alberto Fernandez de Rosa,Gloria Raines,David José Kohon,1968,B&N,DVD,"13-02-1969 Rex
 El circunstancial encuentro y posterior separación de dos adolescentes: un dependiente de almacén y una prostituta."
2929,PLATA QUEMADA,Policial,Leonardo Sbaraglia,Eduardo Noriega,Pablo Echarri,Marcelo Piñeyro,2000,Color,DVD,"2-06-2000 Plaza, jido, P Carretas. Movie Centar Montevideo, Portones
  Luego de un sangriento atraco en Buenos Aires los delincuentes huyen a Montevideo dónde serán cercados por la policia. Basada en hechos reales."
2927,EL ASALTO,Policial,Alberto de Mendoza,Egle Martin,Luis Tasca,Kurt Land,1959,B&N,DVD,"17-10-1961 Rex
 Un grupo muy heterogéneo planea y ejecuta un asalto a un banco."
2928,NOCHES SIN LUNAS NI SOLES,Policial,Alberto de Mendoza,Luisina Brando,Lautaro Murúa,José Martínez Suárez,1984,Color,DVD,"No estrenada en salas en Uruguay.
 Un delincuente escapa de prisión para ayudar a un amigo moribundo. Lo persigue un comisario y quienes lo ayudaron a huir.
 De lo mejor del género policial rioplatense. Con los años ha ganado un prestigio de clásico."
2930,CLEOPATRA,Comedia,Norma Aleandro,Natalia Oreiro,Alberto de Mendoza,Eduardo Mignona,2003,Color,DVD,"22-08-2003. Movie Center Montevideo, Portones, P Carretas. Grupo Cine Ejido, P Carretas
  Hartas de sus respectivas rutinas, una maestra jubilada y una famosa actriz de telenovelas, se lanzan a vivir un fin de semana diferente, dando aí el primer paso cambiar definitivamente el rumbo de sus vidas."
2931,MI OBRA MAESTRA,Comedia,Luis Brandoni,Guillermo Francella,Raúl Arévalo,Gastón Duprat,2018,Color,DVD,"23-08-2018 Grupo Cine P. Carretas, Torre de los Profesionales, Life 21, Alfabeta, P Carretas, Movie Montevideo, Nuevo Centro, Portones, P Carrteas.
 Un marchand utiliza la muerte de un pintor conocido para explotar la venta de sus obras."
2932,SINUHE EL EGIPCIO,Drama,Jean Simmons,Victor Mature,Edmund Purdom,Michael Curtiz,1954,Color,DVD,19-03-1955 Censa.En época de los faraones un pobre huérfano se convierte en un brillante médico.
2934,DEMENTIA 13,Terror,Luana Andrews,William Campbell,Patrick Magee,Francis Coppola,1963,B&N,DVD,"12-12-1995 Video Center
 Louise Haloran se encuentra de visita en el castillo propiedad de la familia de su marido. Ante la repentina muerte de este decide ocultar el cadaver para intentar que su suegra cambie el testamento a su favor.Pero Lady Haloran quiere honrar la memoria de una hija suya que murió niña ahogada en el lago de la residencia."
2933,EL RETORNO DEL HOMBRE LOBO,Terror,Pilar Alcón,Julia Saly,Narciso Ibáñez Menta,Paul Naschy,1981,Color,DVD,Tres investigadores resucitan a una malvada bruja. Con ayuda podrán devolver a la temible vampiresa a su tumba.
2935,EL LADRON DE CADAVERES,Terror,Boris Karloff,Henry Daniell,Bela Lugosi,Robert Wise,1945,B&N,DVD,"21-02-1946 Radio City. Título local: El Profanador de tumbas.
 Un joven estudiante de medicina en Edimburgo año 1831 se convierte en el ayudante del Dr MacFarlane. Allí descubrirá la procedencia de los cadáveres que se utilizan en las clases del Dr y a que se debe la extraña familiaridad con la que trata el siniestro cochero John Gray al ilustre cirujano."
2936,LA CASA ENCANTADA,Suspenso,Ava Gardner,Rick Vallin,Bela Lugosi,William Baudine,1943,B&N,DVD,"No estrenada en salas.
 Betty y Jack acaban de casarse. La ceremonia ha sido un éxito gracias a sus amigos, entre los que se encuentra el hermano de la novia. Los recién casados van a emprender el viaje de novios y sus amigos aprovechan su ausencia para decorarles el nuevo hogar. Pero se confunden y entran en la casa vecina donde empiezan a suceder fenómenos extraños."
2937,EL DRAGON VERDE,Aventuras,Richard Denning,Nancy Gates,Richard Loo,Fred Sears,1952,B&N,DVD,"14-12-1954 Victory
  Un grupo de detectives norteamericanos consiguen acabar con una red de espías chinos cuyo objetivo es apoderarse de Hong Kong."
2938,JUNGLE RAIDERS (serial),Aventuras,Kane Richmond,Eddie Quillan,Veda Ann Borg,Lesley Selander,1945,B&N,DVD,"Una joven llega a Africa en busca de su padre que desapareció cuando buscaba una tribu que tiene una gran cantidad de diamantes.
  No estrenada en salas."
2939,EL PIRATA NEGRO,Aventuras,Ricardo Montalban,Vincent Price,Giulia Rubini,Mario Costa,1961,Color,DVD,"17-12-1962 Central.
 El Pirata Negro llega a una isla con el fin de desbaratar el tráfico de esclavos."
2940,LA CARRERA DE LA MUERTE,Terror,Vincent Price,Christopher Lee,Peter Cushing,Gordon Hessler,1970,Color,DVD,"24-01-1972 Iguazú
 La policía investiga varias muertes. Lo que une estos casos es qye a las tres víctimas se le ha extraido toda la sangre. El asesino es identificado y perseguido. Desparece en la casa del Dr Browning (Vincent Price). Según el Dr se ha suicidado lanzándose a un depósito de ácido."
2941,LA TIENDA DE LOS HORRORES,Terror,Jonathan Haze,Jack Nicholson,Mel Welles,Roger Corman,1960,Color,DVD,"18-10-2000 Estudio del Sodre.
   Un joven empleado compra una pequeña planta. La planta crece, se mueve e incluso habla."
2944,LA NOCHE ETERNA,Drama,Henry Fonda,Barbara Bel Geddes,Vincent Price,Anatole Litvak,1947,B&N,DVD,"28-07-1948 Trocadero
 Un soldado regresa de la guerra a un pueblo de Pennsylvania. Conoce a una chica yr apidamente surge el amor entre ellos. Pero un vidente al que visita la chica trata de interrumpir las relaciones mediante intrigas."
2943,EL PALACIO DELOS ESPIRITUS,Terror,Vincent Price,Debra Paget,Lon Chaney,Roger Corman,1963,Color,DVD,"17-10-2018 Cine Universitario.
 Cuando un hombre llega a un pueblecito de Nueva Inglaterra a reclamar el castillo de la familia, descubre que está habitada por mutantes. En esa mansión el abuelo practicó ritos satánicos."
2942,EL HOMBRE DE MIMBRE,Terror,Christopher Lee,Edward Woodward,Britt Eckland,Robin Hardy,1973,Color,DVD,"8-08-2015 Cinemateca
 Una carta que hace sospechar que una joven desaparecida ha sido asesinada lleva al sargento Howie hasta la isla de Summeriste, una isla en la costa inglesa. Allí  el inspector se entera de que hay una especie de culto pagano y conoce a Lord Summeriste, el lider religioso de la isla."
2033,RUTA 66 (1era Temporada),Aventuras,George Maharis,Martin Milner,Glenn Corbet,Varios,1960,B&N,DVD,Dos jovenes recorren los Estados Unidos
2970,CAPRICHOSA Y MILLONARIA,Comedia,Paulina Singerman,Fernando Borel,Augusto Codecá,Enrique Santos Discépolo,1940,B&N,DVD,"26-06-1940 Ambassador
 El padre de una chica rica envía a un administrador para controlar sus gastos excesivos.
  Interesante en su desequilibrio. Todavía arranca alguna sonrisa."
2971,LA NUEVA CIGARRA,Comedia,Olga Zubarry,Ma Aurelia Bisutti,Alberto Martín,Fernando Siro,1977,Color,DVD,"10-06-1977 Ariel
 La muerte de una persona con síntomas de peste bubónica en un hotel de alta rotatividad, provoca que el lugar sea declarado en cuarentena.
 La historia está basada en la exitosa La cigarra no es un bicho de Daniel Tinayre."
2977,TAMBORES FRATERNOS,Western,Audie Murphy,Waler Brennan,Lyle Bettger,Nathan Juran,1954,Color,DVD,"30-04-1956 Eliseo. Título local: Tambores de Venganza
 Crown City, una ciudad de Colorado que tuvo en enorme auge por sus minas de oro, está a punto de convertirse en una ciudad fantasma. La única mina activa está en territorio indio. Después de que su madre haya sido asesinada por un indio, Gary brannon (Murphy) emprende una expedición en busca de venganza y con la esperanza de encontrar la ansiada mina."
2950,EL BARON ROJO,Bélica,John Phillip Law,Don Stroud,Karen Huston,Roger Corman,1971,Color,DVD,"22-01-1972 Ambassador
 El barón prusiano Manfred Von Richtofen, conocido como el Barón Rojo,es el indiscutido lider de los pilotos de caza alemanes, durante la primera guerra mundial."
2951,BAR 20,Western,William Boyd,Andy Clyde,George Reeves,Lesley Selander,1943,B&N,DVD,"31-01-1945 Trocadero
  Una diligencia es asaltada cerca del rancho de Hoppy Cassidy."
2945,DOS CONTRA EL DESTINO,Western,Tyrone Power,Susan Hayward,Hugh Marlowe,Henry Hathaway,1951,B&N,DVD,"2-09-1951 California
 Unos salteadores capturan una diligencia y matan al jefe de la parada y retienen a los sobrevivientes, un hombre y una mujer, mientras los pistoleros aguardan la llegada de un cargamento de oro."
2952,LOCA JUERGA TROPICAL,Comedia,Michael Caine,Valerie Parrine,Brenda Vaccaro,Dick Clement,1985,Color,DVD,"20-06-1986 California.Título local: Burbujas.
 Cáscara es una pequeña isla ubicada en el mar Caribe. Es económicamente pobre por lo que resulta una carga para la corona británica. Un buen día se descubre un importante yacimiento natural de agua mineral. Pronto británicos, norteamericanos, cubanos y unos rebeldes locales luchan por el control de la isla."
2946,HEROES DE HIERRO,Western,Fess Parker,Jeffrey Hunter,Jeff York,Francis D. Lyon,1956,Color,DVD,"2-12-1957 Trocadero
 Título local Los valientes también huyen.
  Durante la Guerra de Secesión un grupo de soldados de la Unión, roba una locomotora para volar un puente y, así impedir el suministro a las fuerzas confederadas."
1859,CON ALMA Y VIDA,Policial,María Aurelia Bisutti,Norberto Aroldi,David Llewellyn,David José Kohon,1970,Color,DVD,"Fecha de estreno en Montevideo: 4-12-1972 Coventry
 una mujer, un delincuente y su amor-pasión, leal hasta las últimas consecuencias."
2953,AL FILO DE LA SOSPECHA,Suspenso,Glenn Close,Jeff Bridges,Robert Loggia,Richard Marquand,1985,Color,DVD,"24-04-1986 Censa, Punta Gorda
 Una mujer joven y rica aparece salvajemente asesinada en su casa de la playa. Las sospechasrecaen sobre su marido (Jeff Bridges), un atractivo director de diario que hereda toda la fortuna de su mejer. Una abogada (Glenn Close) decide defenderle, pero cuanto más duda de su inocencia más atracción siente por él."
2948,PATTON,Bélica,George Scott,Karl Malden,Stephen Young,Frankil J.Schaffner,1970,Color,DVD,"24-08-1970  Trocadero
Retro de uno de los genios militares del siglo XX.
Ganadora de ocho premios Oscar, incluido el de George Scott como mejor actor."
2949,TE Y SIMPATIA,Drama,Deborah Kerr,John Kerr,Leif Erickson,Vicente Minelli,1956,Color,DVD,"24-09-1957 Metro
 La relación de un estudiante con una mujer adulta en la década de los 50."
2947,LA DELATORA,Cine Negro,Jorge Rivier,Fada Santoro,Diana Maggi,Kurt Land,1955,B&N,DVD,"28-11-1957 Paris
 Un delincuente, dedicado a la reventa de coches robados y las mujeres,es traicionado por una de sus amantes"
2960,HISTORIAS DE LA CRIPTA,Terror,Demi Moore,Brad Pitt,Michael J.Fox,Robert Zemeckis,1989,Color,DVD,"Esta serie comenzó a emitirse por televisión en 1989 con la intención de reivindicar el género de terror. Las historias eran adaptaciones de la colección de comics de terror que la editorial EC Comics había publicado en los 50 en los que los personajes se veían enfrentados a destinos de lo más tétricos y donde cada historia era presentada por ""El Guardián de la Cripta"", gran anfitrión del horror, que comentaba detalles escabrosos de cada cuento y que incluso se burlaba con ironía de los lectores. Esta forma de introducir el comic se conservó en la serie de televisión en la que cada episodio está precedido por un muñeco cadavérico, que resulta una excelente versión del que aparecía en las historias originales de papel.
 Son siete temporadas. Figuran actores y directores famosos."
3048,EL REGRESO DEL GANGSTER,Cine Negro,Edward Robinson,George Raft,Audrey Totter,Lewis Allen,1955,B&N,DVD,"3-09-1956. Título local:Cada Bala una Vida
  Durante la investigación un inspector de policía canadiense se ve envuelto en una historia que involucra a espías extranjeros, gangsters norteamericanos y un secreto tecnológico que podría cambiar el mundo."
2954,EL FANTASMA DE LA CALLE MORGUE,Suspenso,Karl Malden,Claude Dauphin,Patricia Medina,Roy del Ruth,1954,Color,DVD,"6-08-1956 Iguazú
  Tras varios asesinatos de mujeres la policía cree tener un sospechoso"
2955,EL ENTIERRO PREMATURO,Terror,Ray Milland,Hazel Court,Richard Ney,Roger Corman,1962,Color,DVD,"1-12-1992 Sala Cinemateca
 Una persona está obsesionado con la idea de que pueda ser enterrado vivo."
2956,LA MASCARA DE LA MUERTE ROJA,Terror,Vincent Price,Hazel Court,Jane Asher,Roger Corman,1964,Color,DVD,"13-02-2010 Cinemateca Pocitos
  Un principe europeo aterroriza a la población desde su castillo tomado como refugio contra la plaga conocida comola muerte roja."
2957,LA TUMBA DE LIGEIA,Terror,Vincent Price,Elisabeth Shepherd,John Westbrook,Roger Corman,1964,Color,DVD,"5-12-1992 Cinemateca
 Un hombre obsesionado por la muerte de su primera esposa encuentra parecidos con su segunda esposa"
2958,LA CAJA OBLONGA,Terror,Vincent Price,Christopher Lee,Rupert Davies,Gordon Hessler,1969,Color,DVD,"31-07-1972 Iguazú
 Sir Juliam Markham (Price) mantiene encerrado a su hermano ya que cuando estaba en sus posesiones en Africa unhechicero le deformó la cara. Cuando fallece es enterrado pero estaba en estado cataléptico provocado por un brebaje. Cuando despierta comienza su sangrienta venganza."
2959,ENTERRADO VIVO,Terror,Robert Vaughn,Donald Pleasence,Karen Lorre,Gerard Kikoine,1990,Color,DVD,"No estrenada en salas en Uruguay.
 Una joven mujer llega a un residencial siquiatrico de chicas irregulares de carácter."
2961,EL SUSTO,Suspenso,Vincent Price,Lynn Bari,Frank Latimore,Alfred L. Werker,1946,B&N,DVD,"17-10-1946 Radio City. Título local: La Muerte Viste de Blanco.
 La historia se desarrolla en la posguerra. Una joven va a un hotel donde se reunirá con su esposo que ha sido prisionero de guerra. Esperándolo, es testigo de un crimen desde la ventana de su habitación. Cuando este llega la encuentra paralizada y en estado de shock. Un psiquiatra es llamado para ayudar. Pero cuando la mujer va reaccionando lo reconoce como el asesino que ha visto.El Doctor capta que ella ha sido testigo del crimen. Se las ingenia para llevarla a clínica. Mientras tanto su marido y la policía comienzan a sospechar que no todo es como parece."
2966,EL CRIMEN DE ORIBE,Drama,Roberto Escalada,Carlos Thompson,Maria Cocepción César,Leopoldo Torres Ríos,1950,B&N,DVD,"20-08-1951 Rex
  Dos hombres y una misteriosa familia donde se repite siempre un día para salvar a una de las hijas"
2967,DELIRIO,Comedia,Arturo García Buhr,Irma Córdoba,Rosa Rosen,Arturo García Buhr,1941,B&N,DVD,"11-08-1944 Coventry
  Para comprobar si su marido la ama, una mujer finge morir y vuelve al hogar pasando por su hermana melliza."
3011,LA VALIJA,Drama,Luis Sandrini,Malvina Pastorino,Alberto Martin,Enrique Carreras,1971,Color,DVD,"18-03-1971 Censa
 La rutina de un matrimonio maduro es interrumpida con la aparición de un hombre joven, quetienta a la mujer."
2962,DUELO DE PILLOS,Western,Frank Sinatra,George Kennedy,Anne Jackson,Burt Kennedy,1970,Color,DVD,"4-08-1971 Metro
 Tras el asalto a una diligencia Dangus Magee es perseguido por el sheriff George Kennedy. Film de ritmo frenético y lleno de bromas."
2968,DETECTIVE,Comedia,Pablo Palitos,Fada Santoro,Felisa Mary,Carlos Schlieper,1954,B&N,DVD,"14-03-1955 Central
 Para preservar la felicidad de un hogar, un detective se transforma en distintos personajes."
2969,PIEDRA LIBRE,Drama,Marilina Ross,Juan José Camero,Mecha Ortiz,Leopoldo Torre Nilson,1976,Color,DVD,"11-06-1976 California
  La hija de una humilde pareja de actores va a vivir a una estancia poblada de viejos mitos."
2964,LOS TRES MOSQUETEROS D'Artagnan,Aventuras,Francois Civil,Vincent Cassel,Eva Green,Martin Bourboulon,2023,Color,DVD,"Serie TV
 El joven gascón D'Artagnan quiere unirse a los mosqueteros del rey. Antes deberá cumplir con tareas delicadas para salvar a Francia."
2963,CHICAS EN PIE DE GUERRA,Drama,Goldie Hawn,Kurt Russell,Cheristine Lahti,Jonathan Demme,1984,Color,DVD,"No estrenada en salas en Uruguay.
 Cuando USA entra en la guerra y los hombres son movilizados, las mujeres entraron a trabajar en las fábricas"
2965,LOS TRES MOSQUETEROS Milady,Aventuras,Francois Civil,Vincent Cassel,Eva green,Martin Bourboulon,2023,Color,DVD,"Serie TV
 Dártagnan lucha por salvar a su amada Constanza."
2972,UN AGUJERO EN LA PARED,Drama,Alfredo Alcón,Mario Alarcón,Maria Noel,David José Kohon,1982,Color,DVD,"10-10-1989 Cinemateca
 Un humilde fotógrafo pacta con el diablo para adquirir poder.
 Pese a lo lento de la acción resulta un film interesante en su aproximación al eterno tema del pacto satánico."
2973,UN GUAPO DEL 900,Drama,AlfredoAlcón,Arturo García Buhr,Elida Gay Palmer,Leopoldo Torre Nilsson,1960,B&N,DVD,"26-10-1960 Trocadero
 El matón de un político, entre su lealtad sin límites por éste y la influencia de su madre."
2974,QUE LINDA ES MI FAMILIA,Comedia,Palito Ortega,Luis Sandrini,Nini Marshall,Palito Ortega,1980,Color,DVD,"17-07-1980 ABC
 Una familia con tres hijos, uno de ellos adoptivo, y sus vivencias.
 Film póstumo de Luis Sandrini. También última película de Nini Marshall."
2975,LA SONRISA DE MAMA,Drama,Libertad Lamarque,Palito Ortega,Angel Magaña,Enrique Carreras,1971,Color,DVD,"24-03-1972 Censa
 Un hijo y la enfermedad terminal de su madre."
2976,ACNE,Drama,Alejandro Tocar,Yoel Bercovici,Igal Label,Federico Veiroj,2008,Color,DVD,"15-08-2008 Movie Center Montevideo,Alfabeta Hoyts, Grupocine Ejido, Casablanca,
  Un adolescente de 13 años, perdió la virginidad pero nunca ha besado a una chica. Para lograr su sueño deberá combatir su acné, luchar contra su torpeza, ganarle a latimidez. Todo está cambiando y su cuerpo también."
3009,LA DAMA DEL COLLAR,Drama,Amelia Bence,Guillermo Battaglia,Manuel Collado,Luis Mottura,1948,B&N,DVD,"16-11-1948 Coventry
 Una mujer pierde un collar que tomó prestado sin permiso y un chantajista intenta aprovecharse."
3010,LA IMPORTANCIA DE SER LADRON,Comedia,Francisco Alvarez,Alicia Vignoli,Hector Calcaño,Julio Saraceni,1944,B&N,DVD,"7-09-1944 Radio City
  La historia de un modesto y ejemplar empleado a quien, por error, se le adjudica una gran defraudación.
  Buena actuación de Francisco Alvarez."
